"Qty","Reference","Value","Description","DNP","Manufacturer","Part Number"
"11","C1,C4,C5,C22,C25,C26,C27,C31,C34,C36,C37","1uF","Capacitor, 1uF, MLCC, 25V, X5R, 10%, 0402","","Samsung","CL05A105KA5NQNC"
"12","C2,C3,C8,C9,C11,C12,C13,C15,C16,C18,C19,C30","22uF","Capacitor, 22uF, MLCC, 6.3V, X5R, 20%, 0603","","Murata","GRM188R60J226MEA0D"
"18","C6,C7,C10,C14,C17,C20,C21,C23,C24,C28,C29,C32,C33,C35,C38,C39,C40,C41","100nF","Capacitor, 100nF, MLCC, 50V, X7R, 10%, 0402","","Samsung","CL05B104KB54PNC"
"1","D4","NeoPixel_THT","RGB LED with integrated controller, 5mm/8mm LED package","","Adafruit","1938"
"3","D1,D2,D3","ESDA8P80-1U1M","TVS, Unidirectional high power, QFN-2","","STMicroelectronics","ESDA8P80-1U1M"
"1","J1","SEN66","6-Position, 1.25 mm pitch, Wire-to-Board connector","","JST","BM06B-GHS-TBT"
"1","J2","USB-C","Connector, USB 2.0, 16P, Type-C, Receptacle","","Phoenix Contact","1332645"
"1","J3","SEN0609","Generic connector, 2.54mm spacing, single row, 01x05 (TLW-105-06-T-S)","","Samtec","CES-105-01-T-S"
"1","J4","LD2410","Generic connector, 1.27mm spacing, single row, 01x05","","Samtec","RSM-105-02-S-S"
"1","J5","SPKR","Solder Holes for up to 24 ga wire","","Same Sky","CMS-251437-24SP-X8 "
"1","J6","LD2450","Socket, 8 position, 2mm spacing, dual row, 02x04, SMT","","Molex","79109-1003"
"2","L1,L2","1uH","Inductor, 1uH, 3.3A, 20%, 1008","","Murata","DFE252012F-1R0M=P2"
"1","MK1","ICS-43434","TDK InvenSense MEMS Microphone, 24-bit I2S, 65 dBA SNR, LGA-6","","TDK InvenSense","ICS-43434"
"1","Q1","MMBFJ201","20mA min, 35V, 30mOhm max, 3-10V Vgs(off), N-Channel JFET, SOT-23","","Onsemi","MMBFJ201"
"1","R1","499KΩ","Resistor, 499KΩ, 62.5mW, 1%, 0402","","Vishay / Dale","CRCW0402499KFKED"
"1","R3","634KΩ","Resistor, 634KΩ, 62.5mW, 1%, 0402","","Vishay / Dale","CRCW0402634KFKED"
"1","R4","453KΩ","Resistor, 453KΩ, 62.5mW, 1%, 0402","","Vishay / Dale","CRCW0402453KFKED"
"1","R8","68mΩ","Current Sense Resistor, 68mΩ, 400mW, 1%, 75ppm, 0603","","Vishay","WSLP0603R0680FEA"
"1","R9","150mΩ","Current Sense Resistor, 150mΩ, 250mW, 1%, 75ppm, 0805","","Vishay","WSL0805R1500FEA18"
"1","R10","80mΩ","Current Sense Resistor, 80mΩ, 400mW, 1%, 75ppm, 0603","","Vishay","WSLP0603R0800FEB"
