Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C22, C25, C26, C27, C31, C34, C36, C37, C4, C5",0402,11,1uF,C52923
"C10, C14, C17, C20, C21, C23, C24, C28, C29, C32, C33, C35, C38, C39, C6, C7",0402,16,100nF,C307331
"C11, C12, C13, C15, C16, C18, C19, C2, C3, C30, C8, C9",0603,12,22uF,C77042
"D1, D2, D3",TVS_ESDA25P35-1U1M,3,ESDA8P80-1U1M,
D4,LED_D5.0mm-4_RGB,1,NeoPixel_THT,
J1,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,1,SEN66,C189892
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB-C,
J3,PinHeader_1x05_P2.54mm_Vertical,1,SEN0609,
J4,PinSocket_1x05_P1.27mm_Vertical_SMD_Pin1Right,1,LD2410,
J5,PinHeader_1x02_P2.00mm_Vertical,1,SPKR,
J6,PinSocket_2x04_P2.00mm_Vertical_SMD,1,LD2450,
JP1,SAMTEC_TMM-105-01-X-D-SM,1,Gain,
"L1, L2",1008,2,1uH,C435392
MK1,InvenSense_ICS-43434-6_3.5x2.65mm,1,ICS-43434,
Q1,SOT-23,1,MMBFJ201,C891687
R1,0402,1,499KΩ,
"R10, R8",0402,2,10Ω,
"R11, R16, R2, R5",0402,4,100KΩ,
"R12, R13",0402,2,10KΩ,
R14,0402,1,4.7Ω,
R15,0402,1,64.9KΩ,
"R19, R20, R6, R7",0402,4,5.1KΩ,
R21,0402,1,133KΩ,
R3,0402,1,634KΩ,
R4,0402,1,453KΩ,
R9,1210,1,150mΩ,
SW1,SW_SPST_B3U-1000P-B,1,BOOT,C231329
SW2,SW_SPST_B3U-1000P-B,1,RESET,C231329
U1,SOT-23-5,1,SN74LV1T34DBV,C100024
U10,Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm,1,SCD41,
U11,BMP581,1,BMP581,
U12,MSOP-8_3x3mm_P0.65mm,1,MCP6042,C627438
U13,TSSOP-10_3x3mm_P0.5mm,1,ADS1115,C37593
U14,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT45,
U15,EKMC163111,1,EKMC1603111,
U16,TGS-5141,1,TGS5141,
U17,TO-92_Inline,1,DS18S20,
"U2, U5",SOT50P160X60-6N,2,TLV62568DRL,C398372
U3,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
U4,VREG_TLV75533PDRVR,1,TLV75533PDRV,
U6,ESP32-S3-WROOM-2,1,ESP32-S3-WROOM-2-N32R16V,
U7,VSSOP-10_3x3mm_P0.5mm,1,INA228,C2887910
U8,AMS_TSL25911FN,1,TSL2591,
U9,XCDR_SGP40-D-R4,1,SGP41,
