Designator,Mid X,Mid Y,Rotation,Layer
C1,138.75,-35.675,270.0,top
C10,102.825,-45.075,270.0,top
C11,104.025,-44.95,90.0,top
C12,105.525,-44.95,90.0,top
C13,120.15,-45.7,270.0,top
C14,110.560752,-46.248955,180.0,top
C15,110.685752,-45.064978,0.0,top
C16,98.6,-52.683588,90.0,top
C17,102.825,-52.825,270.0,top
C18,104.025,-52.7,90.0,top
C19,105.525,-52.7,90.0,top
C2,139.976,-35.55,270.0,top
C20,102.176365,-61.238786,180.0,top
C21,132.15,-63.78,0.0,top
C22,140.15,-63.78,0.0,top
C23,96.8875,-65.724,270.0,top
C24,103.3125,-66.2425,270.0,top
C25,115.6,-66.25,270.0,top
C26,125.93,-65.94,90.0,top
C27,130.73,-66.66,90.0,top
C28,129.82,-71.56,270.0,top
C29,130.85,-71.56,270.0,top
C3,117.283759,-36.542831,0.0,top
C30,139.9,-72.05,0.0,top
C31,109.205,-74.85,0.0,top
C32,120.434,-74.854,0.0,top
C33,106.295,-75.8,180.0,top
C34,137.5,-76.13,270.0,top
C35,115.95,-79.9,90.0,top
C36,137.5,-81.42,90.0,top
C37,107.1,-84.65,180.0,top
C38,139.13,-87.28,180.0,top
C39,131.48,-91.31,180.0,top
C4,117.158759,-37.792831,0.0,top
C40,109.5,-57.326876,90.0,top
C41,112.343069,-50.380312,90.0,top
C5,101.890411,-39.181589,225.0,top
C6,140.15,-41.75,180.0,top
C7,120.15,-43.2875,90.0,top
C8,140.15,-42.95,0.0,top
C9,98.6,-44.933588,90.0,top
D1,118.825,-81.6,90.0,top
D2,121.425,-81.6,90.0,top
D3,123.075,-81.6,90.0,top
D4,100.639198,-38.160802,135.0,bottom
J1,141.246,-78.775,90.0,top
J2,121.75,-88.8,0.0,top
J3,121.188759,-34.892831,270.0,bottom
J4,136.5,-35.475,270.0,bottom
J5,118.549999,-41.25,90.0,bottom
J6,141.0,-79.65,270.0,bottom
L1,102.5,-47.8,0.0,top
L2,102.5,-55.55,0.0,top
MK1,137.75,-89.77,0.0,top
Q1,102.411872,-78.438128,315.0,top
R1,100.799183,-42.249221,180.0,top
R10,109.360796,-48.203068,0.0,top
R11,117.559999,-48.796759,180.0,top
R12,134.15,-63.78,180.0,top
R13,138.2,-63.78,0.0,top
R14,128.720001,-68.29,0.0,top
R15,107.285,-74.85,0.0,top
R16,109.235,-75.8,0.0,top
R19,120.125,-81.6,90.0,top
R2,100.797499,-43.2,0.0,top
R20,124.375,-81.6,90.0,top
R21,107.1,-83.65,180.0,top
R3,120.15,-48.02,180.0,top
R4,100.7975,-50.05,180.0,top
R5,100.7975,-51.0,0.0,top
R6,112.340001,-56.949999,180.0,top
R7,112.340001,-55.85,180.0,top
R8,106.45,-55.1,0.0,top
R9,97.340254,-59.742157,90.0,top
SW1,133.15,-66.65,270.0,top
SW2,139.2,-66.65,270.0,top
U1,123.4125,-41.1,0.0,top
U10,109.4125,-68.1425,270.0,top
U11,128.07,-71.56,0.0,top
U12,107.75,-79.9,0.0,top
U13,112.75,-82.65,270.0,top
U14,131.5,-89.65,270.0,top
U15,121.75,-74.854,0.0,bottom
U16,106.925,-82.65,270.0,bottom
U17,115.590001,-85.900001,90.0,bottom
U18,107.199479,-59.046876,90.0,top
U19,110.121895,-52.107406,90.0,top
U2,101.0,-44.95,270.0,top
U3,117.3,-45.45,90.0,top
U4,107.75,-46.225,180.0,top
U5,101.0,-52.7,270.0,top
U6,135.14,-53.45,270.0,top
U7,101.486365,-58.988786,90.0,top
U8,98.85,-65.724,270.0,top
U9,128.08,-66.34,180.0,top
